objectID,Title,ArtistName,Department,TimePeriod,Height,Width,H/W Ratio,Color,Region Detailed,Region Broad,Country
35968,Forts Zeelandia and Provintia and the City of Tainan,Unidentified artist,Asian Art,19th century,3947,3059,1.2902909447531874,RGB,China,China,China
35970,Song of the Lute,Ding Yunpeng,Asian Art,1585,4000,3166,1.2634238787113077,RGB,China,China,China
35971,Landscape after Li Cheng,Unidentified artist,Asian Art,"18th century or later, spurious date of 1680",550,716,0.7681564245810056,RGB,China,China,China
36005,"Mountain Market, Clearing Mist",Xia Gui,Asian Art,early 13th century,1108,1189,0.9318755256518082,RGB,China,China,China
36011,First half of Ten Thousand Li of the Yangzi River,Unidentified artist,Asian Art,late 15th century,1976,1542,1.2814526588845656,RGB,China,China,China
36013,Lady in a Bamboo Grove,Qiu Ying,Asian Art,Unavailable,3000,4000,0.75,RGB,China,China,China
36018,(Copy after) The Sixteen Luohans,Shitao (Zhu Ruoji),Asian Art,19th–early 20th century,1848,1266,1.4597156398104263,RGB,China,China,China
36020,Pomegranates after Ma Lin,Unidentified artist,Asian Art,Unavailable,3682,3722,0.9892530897367008,RGB,China,China,China
36023,Fisherman and family,Zhang Lu,Asian Art,16th century,511,700,0.73,RGB,China,China,China
36026,Spring Ablutions at the Orchid Pavilion,Wang Wenzhi,Asian Art,Unavailable,2000,1760,1.1363636363636365,RGB,China,China,China
36028,Children Playing,Unidentified,Asian Art,16th–17th century,2389,3653,0.6539830276485081,RGB,China,China,China
36029,Water-moon Avalokiteshvara,Unidentified artist,Asian Art,first half of the 14th century,2050,4000,0.5125,RGB,Korea,Korea,Korea
36030,Lady in a Bamboo Grove after Qiu Ying,Shen Shuo,Asian Art,Unavailable,1500,2000,0.75,RGB,China,China,China
36035,Rosy Sunset,Wen Tong,Asian Art,16th century,1881,1464,1.2848360655737705,RGB,China,China,China
36036,Hibiscus and Egret,Jiang Tingxi,Asian Art,dated 1724,2216,4000,0.554,RGB,China,China,China
36037,Viewing the Moon under a Pine Tree,Ma Yuan,Asian Art,early 13th century,3787,3409,1.11088295687885,RGB,China,China,China
36039,Horse and Willow Tree,Unidentified artist,Asian Art,early 15th century,1628,1827,0.8910782703886152,RGB,China,China,China
36040,Four Deities with Horses,Unidentified,Asian Art,Unavailable,1473,1777,0.8289251547552055,RGB,Japan,Japan,Japan
36042,Dragon and Landscape,Unidentified artist,Asian Art,14th century; plus later addition,4000,3002,1.3324450366422385,RGB,China,China,China
36043,Bird,Ogawa Haritsu (Ritsuō),Asian Art,18th century,4000,2803,1.4270424545130218,RGB,Japan,Japan,Japan
36047,Miniature landscapes,Zhang Zongcang,Asian Art,datable to 1751–54,3067,2703,1.1346651868294488,RGB,China,China,China
36054,Landscape with Birds,Unidentified artist,Asian Art,16th century?,485,853,0.5685814771395076,RGB,China,China,China
36055,Landscape with great pine,Ma Lin,Asian Art,second quarter of the 13th century,3851,3648,1.0556469298245614,RGB,China,China,China
36058,Prunus,Zhou Zonglian,Asian Art,dated 1532 or 1592,480,878,0.5466970387243736,RGB,China,China,China
36059,Flowers and Butterflies,Ma Quan,Asian Art,Unavailable,3811,2243,1.6990637539010254,RGB,China,China,China
36063,Wild Geese in Winter,Unidentified artist,Asian Art,13th century,1718,1893,0.907554146856841,RGB,China,China,China
36065,Man Sleeping on a Bamboo Couch,Unidentified artist,Asian Art,Unavailable,1925,1683,1.1437908496732023,RGB,China,China,China
36066,Portraits of Emperors of Successive Dynasties,Unidentified artist,Asian Art,early 20th century (?),3136,3407,0.920457880833578,RGB,China,China,China
36067,"Spring Landscape with Plum Blossoms, Scholar and Deer",Xie Shichen,Asian Art,dated 1548,1136,1936,0.5867768595041323,RGB,China,China,China
36081,Portrait of the Artist's Great-Granduncle Yizhai at the Age of Eighty-Five,Ruan Zude,Asian Art,"dated ""xinyou"" (1561 or 1621?)",2556,4000,0.639,RGB,China,China,China
