objectID,Title,ArtistName,TimePeriod,Region Detailed,Country,Century,Culture,Height,Width,H/W Ratio,Color
37992,"Abhisarika Nayika, a Heroine Longing for Her Lover",Unavailable,ca. 1790–1800,"India (Punjab Hills, Kangra)",India,1700's,Asian Art,2907,4000,0.72675,RGB
37993,Lady Holding a Sparkler,Unavailable,ca. 1800,"India (Punjab Hills, Kangra)",India,1800's,Asian Art,3143,4000,0.78575,RGB
38009,Raja Balwant Singh’s Vision of Krishna and Radha,Nainsukh,ca. 1745–50,"India, Punjab Hills, kingdom of Jasrota",India,1700's,Asian Art,3200,4000,0.8,RGB
38012,Melancholy Courtesan,Unavailable,ca. 1750,"India (Rajasthan, Bundi, or Kota [?])",India,1700's,Asian Art,3119,3707,0.841381171,RGB
38013,"The Wrathful Bon Deity Walse Ngampa, One of the Five Fortress Meditational Deities",Unavailable,early 15th century,China,China,1500's,Asian Art,1500,1769,0.847936687,RGB
38016,Maharaja Sidh Sen Receiving an Embassy,A Master of the Mandi atelier,ca. 1700–10,"India (Himachal Pradesh, Mandi)",India,1700's,Asian Art,2753,3722,0.739656099,RGB
38020,Illustration from a Ragamala Series (Garland of Musical Modes),Unavailable,late 18th century,India (Punjab Hills),India,1800's,Asian Art,1314,1960,0.670408163,RGB
38022,Krishna with an Ascetic,Unavailable,ca.1850,"India (Maharashtra, Marathi)",India,1800's,Asian Art,4000,2358,1.696352841,RGB
38023,Folk Painting,Unavailable,1725,"India (Rajasthan, Marwar)",India,1700's,Asian Art,3718,2735,1.359414991,RGB
38031,Prince with Four Attendants,Sri Prathi Singh of Ratlam,late 18th–early 19th century,India (Rajasthan),India,1800's,Asian Art,2861,3826,0.747778359,RGB
38032,The Three Roads,Unavailable,ca. 1840,India (Hyderabad),India,1800's,Asian Art,3423,3796,0.901738672,RGB
38035,A Holy Man Seated on a Terrace,Unavailable,ca. 1850,"India (Punjab Hills, Kangra)",India,1800's,Asian Art,2738,3914,0.699540112,RGB
38038,A Lady Playing the Tanpura,Unavailable,ca. 1735,"India (Rajasthan, Kishangarh)",India,1700's,Asian Art,1263,2000,0.6315,RGB
38039,"Mahadevi, the Great Goddess",Unavailable,ca. 1725,"India (Rajasthan, Bikaner)",India,1700's,Asian Art,2043,3722,0.548898442,RGB
38040,Maharana Jagat Singh Hawks for Cranes,Shiva and Dayal,dated 1744,"Western India, Rajasthan, Udaipur",India,1700's,Asian Art,3781,3514,1.075981787,RGB
38041,A Prince Hunting Boars with His Retinue,Unavailable,late 18th–early 19th century,"Western India, Rajasthan, Jhilai",India,1800's,Asian Art,2000,1491,1.341381623,RGB
38042,Maharana Bhim Singh and Retinue Embark on a Hunt,Chokha,ca. 1805–10,"Western India, Rajasthan, Udaipur or Devgarh",India,1800's,Asian Art,2000,1847,1.082837033,RGB
38043,Fortified City of Ranthambhor,Bagta,ca. 1810–18,"India (Jaipur, Rajasthan)",India,1800's,Asian Art,3811,2781,1.37037037,RGB
38044,Maharaja Sardar Singh of Bikaner,Chotu,ca. 1860–70,"India (Rajasthan, Bikaner)",India,1800's,Asian Art,1113,1563,0.712092131,RGB
38045,Maharana Sangram Singh II Hunts Hares at Naramangra,Unidentified artist,ca. 1720–30,"Western India, Rajasthan, Udaipur",India,1700's,Asian Art,900,497,1.810865191,RGB
38046,Prince Padam Singh of Bikaner with His Bard Gordhar on a Terrace at Night,Bhavani Das,ca. 1725,"India, Rajasthan, Kishangarh",India,1700's,Asian Art,4000,3366,1.18835413,RGB
