objectID,Title,ArtistName,TimePeriod,Region Detailed,Country,Century,Culture
37915,Maharana Amar Singh II or Sangram Singh Hunting Wild Boar,Unavailable,19th century,"Western India, Rajasthan, Udaipur",India,1900's,Asian Art
37916,Maharana Jagat Singh II in Procession,Unavailable,ca. 1745,"India (Rajasthan, Mewar)",India,1700's,Asian Art
37922,Horoscope with Floral Drawings,Unavailable,1850,"India (Madhya Pradesh, Gwalior or Indore)",India,1800's,Asian Art
37924,Double Sided Painting; Male with Flower/ Soldier,Unavailable,mid-late 19th century,India,India,1900's,Asian Art
37926,Priests before Shri Nathji,Unavailable,ca. 1820,"India (Rajasthan, Kota)",India,1800's,Asian Art
37928,Seated Four-Armed Ganesha,Unavailable,ca. 1775,"India (Rajasthan, Bundi)",India,1700's,Asian Art
37945,Lady on a Terrace,Unavailable,18th century,"India (Punjab Hills, Chamba)",India,1800's,Asian Art
37959,Radha and Krishna on a Bed at Night,Unavailable,ca. 1830,"India (Punjab Hills, Sirmur)",India,1800's,Asian Art
37960,Hanuman Bearing the Mountaintop with Medicinal Herbs,Unavailable,ca. 1800,India (Rajasthan),India,1800's,Asian Art
37968,Krishna and the Gopis Take Shelter from the Rain,Unavailable,1760,"India (Rajasthan, Jaipur)",India,1700's,Asian Art
37970,"Portrait of a Lama, Possibly Dromton",Unavailable,last quarter of the 11th century,China,China,1100's,Asian Art
37971,Lineage Portrait of an Abbot,Unavailable,ca. 1350,Central Tibet,China,1300's,Asian Art
37974,Maharaja Fateh Singh Hunting Female Bears,Pannalai,dated 1917,"Western India, Rajasthan, Udaipur",India,1900's,Asian Art
37987,A Lady Gazing at Doves,Unavailable,ca. 1780–1800,"India (Punjab Hills, Mandi)",India,1700's,Asian Art
37989,The Churning of the Ocean of Milk,Unavailable,ca. 1780–90,"India (Punjab Hill, Mandi)",India,1700's,Asian Art
37990,Krishna Spying on Radha,Unavailable,ca. 1780–90,"India (Punjab Hills, Mandi)",India,1700's,Asian Art
37991,The Timid Bride,Unavailable,ca. 1800,"India (Punjab Hills, Kangra)",India,1800's,Asian Art
37992,"Abhisarika Nayika, a Heroine Longing for Her Lover",Unavailable,ca. 1790–1800,"India (Punjab Hills, Kangra)",India,1700's,Asian Art
37993,Lady Holding a Sparkler,Unavailable,ca. 1800,"India (Punjab Hills, Kangra)",India,1800's,Asian Art
38009,Raja Balwant Singh’s Vision of Krishna and Radha,Nainsukh,ca. 1745–50,"India, Punjab Hills, kingdom of Jasrota",India,1700's,Asian Art
38012,Melancholy Courtesan,Unavailable,ca. 1750,"India (Rajasthan, Bundi, or Kota [?])",India,1700's,Asian Art
38013,"The Wrathful Bon Deity Walse Ngampa, One of the Five Fortress Meditational Deities",Unavailable,early 15th century,China,China,1500's,Asian Art
38016,Maharaja Sidh Sen Receiving an Embassy,A Master of the Mandi atelier,ca. 1700–10,"India (Himachal Pradesh, Mandi)",India,1700's,Asian Art
38020,Illustration from a Ragamala Series (Garland of Musical Modes),Unavailable,late 18th century,India (Punjab Hills),India,1800's,Asian Art
38022,Krishna with an Ascetic,Unavailable,ca.1850,"India (Maharashtra, Marathi)",India,1800's,Asian Art
38023,Folk Painting,Unavailable,1725,"India (Rajasthan, Marwar)",India,1700's,Asian Art
38031,Prince with Four Attendants,Sri Prathi Singh of Ratlam,late 18th–early 19th century,India (Rajasthan),India,1800's,Asian Art
38032,The Three Roads,Unavailable,ca. 1840,India (Hyderabad),India,1800's,Asian Art
38035,A Holy Man Seated on a Terrace,Unavailable,ca. 1850,"India (Punjab Hills, Kangra)",India,1800's,Asian Art
38038,A Lady Playing the Tanpura,Unavailable,ca. 1735,"India (Rajasthan, Kishangarh)",India,1700's,Asian Art
38039,"Mahadevi, the Great Goddess",Unavailable,ca. 1725,"India (Rajasthan, Bikaner)",India,1700's,Asian Art
38040,Maharana Jagat Singh Hawks for Cranes,Shiva and Dayal,dated 1744,"Western India, Rajasthan, Udaipur",India,1700's,Asian Art
38041,A Prince Hunting Boars with His Retinue,Unavailable,late 18th–early 19th century,"Western India, Rajasthan, Jhilai",India,1800's,Asian Art
38042,Maharana Bhim Singh and Retinue Embark on a Hunt,Chokha,ca. 1805–10,"Western India, Rajasthan, Udaipur or Devgarh",India,1800's,Asian Art
38043,Fortified City of Ranthambhor,Bagta,ca. 1810–18,"India (Jaipur, Rajasthan)",India,1800's,Asian Art
38044,Maharaja Sardar Singh of Bikaner,Chotu,ca. 1860–70,"India (Rajasthan, Bikaner)",India,1800's,Asian Art
38045,Maharana Sangram Singh II Hunts Hares at Naramangra,Unidentified artist,ca. 1720–30,"Western India, Rajasthan, Udaipur",India,1700's,Asian Art
38046,Prince Padam Singh of Bikaner with His Bard Gordhar on a Terrace at Night,Bhavani Das,ca. 1725,"India, Rajasthan, Kishangarh",India,1700's,Asian Art
38048,Shah Jahan Hunting Blackbuck with Trained Cheetahs,Unavailable,1710–15,"Western India, Rajasthan, Udaipur",India,1700's,Asian Art
38052,Buddha Within a Stupa,Unavailable,16th–17th century,China,China,1600's,Asian Art
38057,Sketch with Kali and a Young Boy,Unavailable,ca. 1800,"India (Punjab Hills, Kangra?)",India,1800's,Asian Art
38058,"Maharana Amar Singh II, Prince Sangram Singh and Courtiers Watch a Performance",Unavailable,ca. 1705–8,"India (Rajasthan, Mewar)",India,1700's,Asian Art
