objectID,Title,ArtistName,Department,TimePeriod,Region,Height,Width,H/W Ratio,Color
39667,The Scholar Fu Sheng Transmitting the Book of Documents,Du Jin,Asian Art,15th–mid-16th century,China,1500,2000,0.75,RGB
39668,"Old Trees, Level Distance",Guo Xi,Asian Art,ca. 1080,China,3508,1872,1.873931623931624,RGB
39669,Taima Mandala,Unavailable,Asian Art,14th century,Japan,3288,4000,0.822,RGB
39714,View of a Garden Villa,Yuan Jiang,Asian Art,18th century (?),China,4000,3143,1.2726694241170855,RGB
39725,Three Girls on a Riverbank,Torii Kiyonaga,Asian Art,early 19th century,Japan,3304,3000,1.1013333333333333,RGB
39764,Ink Play,Jin Nong,Asian Art,dated 1754,China,2932,3521,0.8327179778472025,RGB
39767,Grooms and Foreign Horses,Jin Nong,Asian Art,17th–18th century,China,553,694,0.7968299711815562,RGB
39810,Bird peddler,Unidentified artist,Asian Art,late 15th–early 16th century,China,1137,1861,0.6109618484685653,RGB
39881,Amitabha and Kshitigarba,Unidentified artist,Asian Art,first half of the 14th century,Korea,2520,4000,0.63,RGB
39882,Amitabha triad,Unidentified artist,Asian Art,ca. 13th century,Korea,2021,4000,0.50525,RGB
39883,Kshitigarbha,Unidentified artist,Asian Art,first half of the 14th century,Korea,3001,4000,0.75025,RGB
39887,Brahma with Attendants and Musicians,Unidentified artist,Asian Art,late 16th century,Korea,3736,3658,1.0213231273920176,RGB
39889,Portrait of the Great Master Seosan,Unidentified artist,Asian Art,late 17th–18th century,Korea,2767,4000,0.69175,RGB
39894,Maharana Amar Singh II with Ladies of the Zenana outside the Picture Hall at Rajnagar,Stipple Master,Asian Art,ca. 1707–8,"India (Udaipur, Rajasthan)",3200,4000,0.8,RGB
39901,Night-Shining White,Han Gan,Asian Art,ca. 750,China,2000,1501,1.3324450366422385,RGB
39933,"Sketch of an ""Inviting Rain"" Mandala",Unavailable,Asian Art,12th century,Japan,1500,2000,0.75,RGB
39935,Palace Ladies Bathing Children,Unidentified artist,Asian Art,11th century,China,1866,1062,1.7570621468926553,RGB
39936,Finches and bamboo,Emperor Huizong,Asian Art,early 12th century,China,3824,2064,1.8527131782945736,RGB
39937,Fish at play,Zhao Kexiong,Asian Art,12th–late 13th century,China,3841,3458,1.1107576633892424,RGB
39993,Crane in a bamboo grove,Unidentified artist,Asian Art,14th–early 15th century,China,1314,1941,0.6769706336939721,RGB
40002,Landscape in the style of Fan Kuan,Unidentified artist,Asian Art,early 12th century,China,1241,1942,0.6390319258496395,RGB
40003,Travelers in a Wintry Forest,Unidentified artist,Asian Art,early 12th century,China,4000,3001,1.3328890369876707,RGB
40010,Monkey and Bee,Okamoto Toyohiko,Asian Art,19th century,Japan,1671,2958,0.5649087221095335,RGB
40021,Snow Clearing: Landscape after Li Cheng,Wang Hui,Asian Art,dated 1669,China,999,1941,0.5146831530139103,RGB
40053,Xiantang Estuary,Xia Gui,Asian Art,ca. 1200,China,3887,3779,1.028578989150569,RGB
40055,Emperor Xuanzong's Flight to Shu,Unidentified artist,Asian Art,mid-12th century,China,1961,1471,1.3331067301155677,RGB
40057,Fisherman's Lodge At Mount Xisai,Li Jie,Asian Art,ca. 1170,China,4000,2470,1.6194331983805668,RGB
40072,Beauty Writing a Letter (copy of a section of the Hikone Screen),Unavailable,Asian Art,17th–18th century,Japan,5184,3456,1.5,RGB
40080,Fragrant Snow at Broken Bridge,Wang Mian,Asian Art,14th century,China,2061,3876,0.531733746130031,RGB
40081,Wang Xizhi watching geese,Qian Xuan,Asian Art,ca. 1295,China,1500,2000,0.75,RGB
40086,Scholar viewing a waterfall,Ma Yuan,Asian Art,late 12th–early 13th century,China,3407,3000,1.1356666666666666,RGB
40106,Buddhist Temples amid Autumn Mountains,Unidentified artist,Asian Art,14th century,China,1993,1149,1.7345517841601392,RGB
40133,Orchids,Ma Lin,Asian Art,second quarter of the 13th century,China,3250,3811,0.8527945421149304,RGB
40137,Mandala of the Bodhisattva Monju (Manjushri) of the Eight Syllables,Unavailable,Asian Art,13th century,Japan,3001,4000,0.75025,RGB
40278,Meeting between Yaoshan and Li Ao,Zhiweng,Asian Art,before 1256,China,1501,2000,0.7505,RGB
40282,Buddha Amitabha descending from his Pure Land,Unidentified artist,Asian Art,13th century,China,2657,4000,0.66425,RGB
40284,Narcissus,Zhao Mengjian,Asian Art,mid-13th century,China,4000,3001,1.3328890369876707,RGB
40303,Six Horses,Unidentified artists,Asian Art,13th–14th century,China,3821,2472,1.5457119741100325,RGB
40336,Shiraito Waterfall at Hakone,Utagawa Hiroshige,Asian Art,19th century,Japan,4000,2826,1.4154281670205238,RGB
40337,Koyurugi Beach of Sagami Province,Utagawa Hiroshige,Asian Art,19th century,Japan,4000,2808,1.4245014245014245,RGB
40338,Kannon Slope of the Kiso Highway,Utagawa Hiroshige,Asian Art,19th century,Japan,4000,2805,1.4260249554367201,RGB
40339,Shibaura Bay of Musashi Province,Utagawa Hiroshige,Asian Art,19th century,Japan,2000,1396,1.4326647564469914,RGB
40340,Mt. Nokogiri Seen from a Distance,Utagawa Hiroshige,Asian Art,19th century,Japan,2000,1651,1.2113870381586918,RGB
40341,Honmoku Bay of Musashi Province,Utagawa Hiroshige,Asian Art,19th century,Japan,4000,3337,1.198681450404555,RGB
40351,Bellflowers in Basket,Ogata Kenzan,Asian Art,18th century,Japan,1755,1338,1.311659192825112,RGB
40352,Three Beauties Playing Musical Instruments,Utagawa Kuniyoshi,Asian Art,19th century,Japan,925,651,1.4208909370199694,RGB
40353,Mynah Birds Attacking an Owl,Sesson Shūkei,Asian Art,probably 19th century,Japan,3834,3208,1.195137157107232,RGB
40354,Camellia by Water,Ogata Kenzan,Asian Art,dated 1741,Japan,1807,1437,1.2574808629088379,RGB
40393,The Pleasures of Fishes,Zhou Dongqing,Asian Art,dated 1291,China,3868,2107,1.8357854769814903,RGB
40418,Landscape with Palace,Unavailable,Asian Art,Unavailable,China,2811,4000,0.70275,RGB
40420,Lȕ Dongbin and the Spirit of the Peony,Unidentified artist,Asian Art,Unavailable,China,426,700,0.6085714285714285,RGB
40427,Birds Pursued by an Eagle,Unavailable,Asian Art,late 17th century,Japan,329,546,0.6025641025641025,RGB
40428,Examining the Hanging Picture,Unidentified artist,Asian Art,ca. 1650,Korea,500,710,0.704225352112676,RGB
40429,Pavilion by the Lake,Samoje,Asian Art,late 18th century,Korea,553,900,0.6144444444444445,RGB
40430,The Wise Men and Scrolls,Unidentified artist,Asian Art,19th century,Korea,493,900,0.5477777777777778,RGB
40431,Wise Men and Children,Unidentified artist,Asian Art,19th century,Korea,510,900,0.5666666666666667,RGB
40432,Scholar in a Lakeside Pavilion,Samoje,Asian Art,late 18th century,Korea,543,900,0.6033333333333334,RGB
40434,Scholars Strolling by the Waterfall,Unidentified artist,Asian Art,ca. 1650,Korea,500,760,0.6578947368421053,RGB
40436,Examining Antiques at Literati Gathering,Wang Li Mu,Asian Art,18th century,Korea,550,633,0.8688783570300158,RGB
40439,Shakyamuni coming down from the mountains,Unidentified artist,Asian Art,late 13th–early 14th century,China,2397,4000,0.59925,RGB
40445,Plum Branch,Yi Yu-won,Asian Art,dated 1888,Korea,2594,4000,0.6485,RGB
40448,Buddha Amitabha Descending from His Pure Land,Unavailable,Asian Art,late 13th century,China,2068,4000,0.517,RGB
40449,Buddha with Two Attendants,Unidentified artist,Asian Art,16th–17th century,probably Japan,483,900,0.5366666666666666,RGB
40451,Rainy Landscape with Travelers,Unidentified artist,Asian Art,15th century,Korea,2112,3796,0.5563751317175974,RGB
40452,Guanyin Seated on a Lotus Throne,Unavailable,Asian Art,15th century,Korea,727,824,0.8822815533980582,RGB
40456,Bamboo and rocks,Li Kan,Asian Art,dated 1318,China,1163,2000,0.5815,RGB
40462,Bean Vine,Itō Jakuchū,Asian Art,mid-18th century,Japan,3001,4000,0.75025,RGB
40507,Grooms and Horses,Zhao Mengfu,Asian Art,dated 1296 and 1359,China,1945,1036,1.8774131274131274,RGB
40511,Nine Songs,Zhao Mengfu,Asian Art,14th century (?),China,3909,3163,1.2358520392032881,RGB
40516,Reading a Sutra by Moonlight,Unidentified artist,Asian Art,ca. 1332,China,2000,2000,1.0,RGB
40987,Snowy landscape with rustic riverside retreat,Liu Songnian,Asian Art,ca. late 12th century,China,4000,2737,1.4614541468761417,RGB
41154,Wind among the Trees on the Riverbank,Ni Zan,Asian Art,1363,China,2492,4000,0.623,RGB
41185,Spring Clouds at the Pine Studio,Zhang Yu,Asian Art,dated 1366,China,934,1861,0.5018807092960774,RGB
41193,Crows in Old Trees,Luo Zhichuan,Asian Art,early 14th century,China,2756,3880,0.7103092783505155,RGB
41194,Landscape after a poem by Wang Wei,Tang Di,Asian Art,dated 1323,China,2575,3880,0.663659793814433,RGB
41195,Returning Fishermen,Tang Di,Asian Art,dated 1342,China,2550,3880,0.6572164948453608,RGB
41468,Fisherman,Wu Zhen,Asian Art,ca. 1350,China,4000,3000,1.3333333333333333,RGB
